Teks Komentar,Stance,
"masih mikirin ganteng-gantengnya kak? miris! mau se good looking apapun looknya kalo perilakunya bejat ya BEJAT aja kak. ya begini Indonesia. punya kesalahan, tapi goodloking, pasti ujung-ujungnya dibela. udah gak kaget wkwkwk",Supportive,
"baca caption nya ,,😭",Neutral,
"the hell, wow pemikirannya berarti kakaknya mau jadi korban yah",Neutral,
"pelecehan, search aja banyak & bukti chatnya",Neutral,
"Respect UI, Ditunggu kampus lain speak up 🔥",Neutral,
naudzubillah serem😭😭😭😭,Neutral,
"Justru setelah kejadian ini harus masuk UI. Ngga menafikan fakta karena hal - hal spt ini bisa terjadi dan memang terjadi di berbagai lingkungan. Tapi, di UI adalah gambaran yang seharusnya dilakukan— karena di lingkungan kampus lain belum tentu melakukan dan memiliki kesadaran serupa dg warga UI. Kampus lain senyap bukan berarti karena aman tapi memang belum kebuka aja or even worse udah kebuka tapi ditutup rapat. Tidak semua diam adalah aman, ada diam yang mencekam.",Neutral,
duhhhhhh jgn sampe deh merka2 ini sukses🥺🥺,Supportive,
"ngapain kasian ,ortunya orang penting semua itu ada anak polisi",Supportive,
"mending semangatin gua dah cape bgt jd donatur😭, gua ex 2019 skrg lg skripsian",Neutral,
inside jokes go public,Neutral,
bu dosen ga siii yg ikut dbahas ks,Neutral,
lah sama cokk😭,Neutral,
"reall. pantes aja petinggi hukum indo pada plenger, apa kek gini ya modelannya pas masih mahasis 😭",Supportive,
Pecat keluarkan jngan Diterima perguruan tinggi dimanapun,Advocacy,
jgn ke ui Bu banyak kasus,Neutral,
Parah ini UI bikin malu dunia akademisi😂,Neutral,
Gu sebagai anak fh unmuha kecewa sih,Neutral,
udah masuk sctv,Neutral,
tadi ada yg bales komenku.. dosennya dile c e hin juga kak..,Neutral,
"kasus pelecehan secara verbal melalui grup chat kak, jadi ada 16 mahasiswa fh UI yang buat grup (katanya dari maba) untuk ngelecehin perempuan² dengan bahasa yang gila banget. bahkan di chat itu ada nama dosen mereka juga kak, jadi bukan cuman sesama mahasiswa aja. nah, semalem itu sidang perdana mereka kak. kayak ditunjukin ""ini loh muka para pelaku nya"", tapi dari awal yang muncul cuma 2 orang dari 16 pelaku. setelah berjalan cukup lama akhirnya baru yang 14 pelaku lainnya muncul kak, setelah ituu para korban dikasih ruang untuk bersuara kenapa para pelaku melecehkam mereka even mereka ga saling kenal. dan jawaban dari pelaku bener² lebih parah dari jawaban anak sd, ga nyambungg bangett kak dan muterr². nah, katanya hari inii bakal ada sidang lagi buat mereka
itu aja sih ka😊🙏🏻",Neutral,
marah banget jujur ya Allah,Neutral,
"Mahasiswa nya sedang learning by doing, langsung melihat apakah materi sesuai dengan realita",Neutral,
nambah nih jadi 17 org,Neutral,
"🛑🛑🛑  hapus sistem zonasi + larang anak dibawah 17 thn maen medsos ..... Tujuannya, biar bocil fokus belajar, biar dapat NEM tinggi agar bs sekolah d sekolah favorit. Jadi gak sempat maen medsos. Waktunya habis buat baca buku atau ikut Les.",Advocacy,
UI dulu juga punya ketua BEM yg gagah berani terhadap perempuan Sehingga rektor maupun dosen2 UI menyayanginya,Neutral,
ngetik sesuai muka ya bang sip🙏🏻,Neutral,
terimakasih dikidoy,Neutral,
Kalau nggak DO berarti UI hanya mirikin akreditasi unvinya 😏. KAWAL SAMPE DO.,Advocacy,
dikidoy itu member ke 17 dia sama aja,Neutral,
takutttt ☹️udah fase bingung banget mau gimana 😅udah mana gak dukung ekonomi nya:(,Neutral,
"kalau fakultas hukum, mereka yang ngerti dan belajar hukum gabisa menyelasaikan ya berarti kita gabisa berharap sama lagi sama hukum indonesia",Advocacy,
"TOLONG WAJAH PELAKU...DIPAMPANG JANGAN DITUTUPI...BIAR MASYARAKAT TAU..SIAPA""ORANGNYA",Advocacy,
liat dimana video yg dosen itu sih ka? aku ga nemu,Neutral,
@randomPeople 🤣🤣🤣🤣,Neutral,
jujurr iyaa woii😭😭,Neutral,
gila gw ketiduran ampe lupa matiin live nya,Neutral,
"keluarkan saja statusnya dari mahasiswa UI , jangan di pertahankan .. keluarkan .. berbahaya",Advocacy,
"Padahal yah hampir semua mahasiswa cowok tu ada grup grup kaya gini, cuma ya ga ketahuan aja",VictimBlaming,
"Astaghfirullah.... sangat memalukan sekali bikin rusak nama besar almamater UNIVERSITAS INDONESIA.

Mohon Bapak Rektor UI bertindak setegas-tegasnya atas oknum mahasiswa Fakultas Hukum UI yang bertindak tidak senonoh.
Secepatnya ditindak ya Bapak Rektor UI. Thanks a lot Bapak Rektor",Advocacy,
Wajib di DO sebelum jadi pejabat. Bahaya utk bawahannya.,Advocacy,
Emang dia ngapain???? Serius nanya....,Neutral,
"Sama lagi, untung shift malam",Neutral,
bangga banget ya punya diri kaya gitu hebat kali ya bagi diorgg,Neutral,
bg btewe pake hp apa bg😁,Neutral,
kocak amatt hukuman yang paling tepat ya DO,Advocacy,
"Omongan dijaga
Perilaku dijaga
Busana dijaga",Neutral,
orangtuanya pasti kecewa bangetttt💔,Neutral,
"Ngak di laporkan ke polisi? 
Alhamdulillah bersyukurlah anak2 kita yang belajar di tempat lain, tidak terkena buruknya almamater ini",Neutral,
pecat dan keluarkan...,Advocacy,
"please bahas ini juga!!!!!!! sebagai orangtua seharusnya kasih contoh yang baik... ayolah,,,, mau jadi apa nanti Indonesia iniii 😤😤😤😤",Supportive,
Black list ...tandai jgn sampe kampus lain terima,Advocacy,
gua berani aja kemana² sendiri survive hidup sendiri yg bikin takut ni ky gini anjir pelecehan dmn2 :),Neutral,
Katanya di DO,Advocacy,
"d tunggu part 2.....
DEWAN KEHORMATAN UNIVERSITAS INDONESIA 🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🌏🌏🌎🌍🌍🌍🌍🌎🌏🌏🌏🌏",Neutral,
mereka pada pinter ngomong smua jir anak hukum😭,Neutral,
"kasihan juga mereka kalau sdh begini, bagaimana perasaan orang tua mereka melihat ini 😔😔",Neutral,
"Fakultas hukum lho, harusnya dihukum dobel sih",Advocacy,
Ngising ngisingi kampus lo lol..jg mahasiswa yg tau ap ap pasti kena getahnya..,Neutral,
Semoga sukses y bund 🥰🥰🥰,Neutral,
Harusnya bgtuh. Jng di pakein masker. Contoh ituh dong.,Advocacy,
pelecehan seksual lewat grup chat WA ke mahasiswi bahkan dosen,Neutral,
kasian Nama Fakultas Hukum nya Padahal Fakultas no 1 sebagai Contoh yg baik tolong 🥺,Neutral,
​@random_123-o3vga ngerti nya dimana kak? sini tak jelasin xixixi😊,Neutral,
Berilmu tapi tak beradab tak berakhlak..memalukan.,Supportive,
Lihat aja pihak UI berani pecat nggak anak pejabat,Advocacy,
Lebay pengen virall..saya ingat di pengang dll .tungu wanita tu KLO ngomong kotor terus kasi laporkan,VictimBlaming,
"ga ngerti...,tlat gua",Neutral,
Gak tau apa yg dimaksud,Neutral,
kerja dl aj dek .. jangan lupa tetep andalkan Tuhan,Neutral,
Pelecehan verbal kak,Neutral,
SAMPEE JAM SET 3 BUSETTT,Neutral,
"bener, songong bgt jalannya",Neutral,
wajib dikeluarkan 2 monyet itu dari UI kalau enggak anda lapor polisi.....bahaya kalau masih kuliah di fakultas hukum.....apalagi UI....bisa2 setelah lulus makin banyak korban yang akan terjadi.,Advocacy,
semangat kaka2 perempuan disana🥹,Supportive,
😭😭😭jahat banget kalian ..kalian pasti punyaa adek perempuan kakak perempuan seorang ibu kalau adek kakak ibu kalian yg di gituin trima nggak haaah,Supportive,
"lsraeI 😎 🇮🇱 ❤️ sebagai rektor tertinggi di dunia dan penemu internet hadir Memantau,  para mahasiswa dan pihak lainnya yang gemar melakukan pelecehan di lndonesia",Neutral,
"serius bro?
padahal di dunia kerja bos""suka ngejadiin anak buahnya lonte, ini cmn chat"" gtu doang?
aokwoakowk",VictimBlaming,
Kurang ajar itu.. hajar saja..,Supportive,
Tujuan pendidikan adalah untuk meningkatkan pengetahuan dan perbaikan moral,Neutral,
Sebanyak itu kah yg dlm grup😭,Neutral,
haduhhh gbsa bayangin😭😭,Supportive,
film KEADILAN pemeran Rio Dewanto kmarin tayang. mari kita lihat kasus ini smpai selesai😅,Neutral,
"Fakultasnya bagus 
Mahasiswa nauzubillahuminzalik",Supportive,
pergaulan ini faktornya... bukan kesana,Neutral,
"Bagus, liatin muka muka mereka !",Advocacy,
"maaf kalau salah, tapi tadi sempet ada baca komen, itu grup awalnya isi 30 anggota terus jadi sisa 16 nah salah satu anggota yang udah keluar dari grup itu punya pacar (perempuan) dan dibaca lah sama si perempuan itu terus si cewe nyuruh lapor dan kesebar lah itu chatnya. Itu yang tadi aku baca tapi maaf kalau salah ya 😭🙏🏻",Neutral,
"UGM ijazah palsu
UI pelecehan",Neutral,
"lu orang yg mengampangkan, mewajarkan, dan memaklumi kejahatan kah? mau diliat dari sisi mana pun itu sebuah kejahatan yang udah terbukti juga. MEREKA KULIAH HUKUM wajar harusnya pada melek hukum. mereka MEWAJARKAN tindakan ini padahal mereka SEHARUSNYA jadi calon PENEGAK HUKUM.",Supportive,
wahhh... Parah.  Generasi penerus bangsa moralnya seperti itu.  Apalagi kuliah difakultas Hukum diUniversitas papan atas pula.  Ironis,Supportive,
REPTIL HARUN MENTORNYA..😅😅,Neutral,
iya kak kamu lemot.,Neutral,
kalau ntar sudah jadi PEJABAT HUKUM.... Akan ada tukar guling kasus dengan layanan MESUM....DO jalan terbaik,Advocacy,
Nag bebemba,Neutral,
maaf ini kasus apa ya aku blm tau?,Neutral,
16 Calon manusia yg bisa bikin kacow diluar kampus kalo dibiarin keluar.,Neutral,
"main tiktok 24jam, TPI ga tau ada berita apa",Neutral,
smaa kaa🙃🥺,Neutral,
Ku gk ngerti istilah downfal dst 😢,Neutral,
"Wajib DO, DARI UI. MEMALUKAN KREDIBILITAS FH UI... JGN ADA KAMPUS LAIN SELURUH INDONESIA YANG MENERIMA",Advocacy,
bos itu apa?,Neutral,
tetep di UI aja emang bisa ngampus gak bawa muka.,Neutral,
itu korban?,Neutral,
"Fh ui apaan, bukan nya nm universitas nya ui ya knp jd fh ui apa ganti nama kah, emang fh singkatan dari apa klo ui udah familiar artinya universitas Indonesia klo fh apa tuh boleh kasih tau",Neutral,
DO sajalah masa mahasiswa hukum melanggar hukum padahal belum juga masuk dunia kerja,Advocacy,
"Hahahah. Kalau demo kata2nya kaya paling bener eh kelakuannya sampah
Ini baru mahasewa",Neutral,
Sekarang tau kan gmn kualitas penegak hukum di Indonesia??,Advocacy,
"gatau, se kecewa apa kakanya :(",Neutral,
"Bagus juga, diperhadapkan langsung di depan umum dan korban sebagai bentuk sanksi sosial secara langsung di luar sanksi hukum. Seumur hidup orang akan mengetahui, merekam dan mengingat kebejatan mereka.",Advocacy,
"mahasiswa ui, pelecehan verbal",Neutral,
"@── Lihat 1.967 balasan ﹀: @── Lihat 1.967 balasan ﹀:yang ketinggalan sini aku ceritain singkat, jadi ada mahasiswa fh ui yang melakukan pelecehan melalui chat, kalian bisa liat (cari chat mahasiswa ui) korban wanita & ada dosen juga , kurng lebih begitu klo ada salah tolong benerin.",Neutral,
Hukum yg baru sudah berlaku ya harus di proses  hukum,Advocacy,
Memalukan saja,Supportive,
.. Padahal UI loh... Jurusan hukum lagi..yang seharusnya jadi pengadilan eh malah jadi pelaku,Supportive,
"ya Allah maafkan aku, dialog cewenya berasa natural kaya di FTV gitu, semoga semua baik² Sjah semangat",Supportive,
Gunung kembar,VictimBlaming,
Banyak Bang. Kampus negeri ga cuma UI yg begini. Kampus kampus top lain banyak yg bejad juga n dari dulu,Neutral,
Artinya si pelaku ini berfikir kalo korban malah stuju di “gituin”,Neutral,
sexual harassment (verbal) in #1 top uni (UNIVERSITY INDONESIA) and in ((((Law Faculties)))),Neutral,
"ini fakultas hukum wkwkwkwkw, wah parah ini makin gk karuan hukum di indoneisa ke depan nya kalau 16 orang ini lanjut wkwkwkwkwk",Advocacy,
ah gak usah dibesar besarkan.....,VictimBlaming,
"Beneeer, sibuk organisasi waktu habis sok sibuk kesana kemari nilai jeblok",Neutral,
"menurutku keren sih mahasiswanya, ngga semua kampus berani kaya gitu👍",Neutral,
Jokes apasi gila?,Neutral,
mana gntng lagi 🥹,Neutral,
"Mana ini UI, harusnya tegas terapkan  DO mahasiswa pembuat gaduh gini,terapkan semboyan Veritas (Kejujuran) , Probitas (Kebenaran), Iustitia (Keadilan)",Advocacy,
terus kenapa tot,Neutral,
nyesel bgt tidur awal,Neutral,
TOBRUT NGOMONG KEADILAN 😂😂😂,VictimBlaming,
​@smiLe-cg5wj di bunuh di kampus UI itu sdh lama terjadi bahkan saat adekku kuliah di sana hampir setiap tahun ada korbannya. Aku di UGM kalau ada yang mati di kampus paling karena bunuh diri karena di DO ngga pernah ada ceritanya di bunuh orang.,Neutral,
tujuan mereka masuk hukum apaan sii,Neutral,
"Beh beh beh universitas bergengsi kok malah ga bermoral gini mahasiswa nya,  kirain sekolah tinggi kok malah jadi penjahat kelamin, parah parah",Supportive,
Malu bgt sii sekolah pendidikan kerennya tapi otak isinya gitu,Supportive,
"hati"" bun apalagi pergaulan jmn skrng bebas bgt",Neutral,
Ini UI kok buat pengadilan pelaku seperti ini..pelaku harusnya cukup diberi surat DO bukan dg pengadilan terbuka dan dgn makian sprti itu...pelaku juga punya keluarga..cukup silent dan DO sudah kapok itu pelaku,VictimBlaming,
ikutin dong kak aku jg punya narsum yg bisa kasi info A1 😋🙏🏻,Neutral,
"Itukah namanya KKN , UI 😮",Neutral,
mungkin mereka nyalahin UI karena kasus nya kebanyakan di UI kak ketimbang kampus lain. contoh kasus yg hilang 10 tahun aja belum tuntas sampai sekarang,Neutral,
"WKWK KETEBAK, template dan kek mau jawab debat calon osis cuh 😭",Neutral,
Polisi yg salah hukum seumur hidup,Neutral,
Kronologis pelecehan dalam bentuk verbal action atau digital kok rombongan ini,Neutral,
fakultas hukum lo ini ya tuhan,Neutral,
"Inilah akibat orang tua kurang mengajarkan pendidikan moral. Orang tua sibuk dg hp dan pekerjaan sehingga lupa mendidik anak dg moral. Kesalahan anak, kesalahan orang tua dmasa dahulu.",Supportive,
"sedih banget waktu dosen nya bilang ""pas saya lihat grupnya ternyata ada nama saya"" 🥹🥹🫰🏻 hug jauh buat para korban 🥹🫰🏻",Supportive,
"tetap ada lah hubungannya dengan universitas, selama ini gimana peranan universitas ko ada mahasiswanta melakukan pelecehan seksual.",Neutral,
Kan katanya demokrasi 😂😂😂😜🤪😛,Neutral,
gw bingung gantengnya darimana coeg 😭,Neutral,
"Jd mereka anak fhui ber16 itu punya grup gitu kak bareng2 aku kurang paham grup apa awalnya krn lagi ga on di x, tp di grup tsb byk bahasan yg kurang pantes soal temennya smpe ke dosen perempuan, kebetulan mereka2 ini punya jabatan penting yg seharusnya sgt menjaga perilaku yg aku blg tadi, kaka sambil search2 lagi aja ya🥰",Neutral,
ks tuh singkatan kekerasan seksual ya?,Neutral,
Insyaallah KLO mereka mau bertobat Allah yg maha pengasih & penyayang Selalu Terbuka bagi hamba nya yg ingin bertobat,VictimBlaming,
"maaf ka aku mikirin banget korbannya sekarang gimana yaa🥺 pasti dia trauma mau peluk korbanyaaa😭😭🥺 jujur sumpah sebagai prempuan pasti semuanya sedih sama korbanya yang selama itu dia bungkam buat engga bilang dan ngerasa takut, hugg jauhh🥺🥺🥺",Supportive,
gpt bgt lho yah😂,Neutral,
miris bgt zaman sekarang😔,Neutral,
"Ini yang di banggakan,sekolah masih di bayar ortu berlagak sudah melebihi segalanya.cara bicara saja sudah tidak ada adab.emah kalau lulusnapa langsung bisa kerja.kelihatan isinya mengalahkan tingkat anak tk.mungkin anak tk masih bisa di atur oleh gurunya.",Supportive,
"Saya juga baru kepikiran. pelaku melecehkan di grup WA tertutup dan privat, tidak ada korban di grup WA itu. Adapun korban justru melecehkan di muka umum dan terang-terangan",VictimBlaming,
"gila, lama banget, keburu tidur kak",Neutral,
Bubarkan fhui gambaran pendidikan gagal Indonesia,Advocacy,
untuk dihukum,Neutral,
Dia mawapresss,Neutral,
"verbal di chat grup, korbannya gak cuma mahasiswa tp sampe ke dosen2nya juga di objektifikasi sm mereka",Neutral,
itu korban pelecehan,Neutral,
ka sama lagi😂,Neutral,
bisa pencemaran nama baik,Neutral,
Iya kenapa sihh apaan? Kirain diperkosa,Neutral,
Ni yg suka dEmo hujat pak prabowo bukan?,Neutral,
"Terapkan aturan islam dalam bidang politik, ekonomi, sosial, budaya, pendidikan dan sisi kehidupan lainnya, Niscaya kekisruhan dan persoalan serupa bisa dicegah. Manusia diciptakan oleh Tuhan Yang Maha Kuasa. Agar tertib dan aman, sudah saatnya manusia mau tunduk dan patuh pada aturan yang dibuat oleh yang menciptakannya. Sebab hanya Dialah yang tahu Persis, dengan cara apa manusia itu seharusnya diatur. Tatanan dasar seluru h aspek kehidupan sudah lengkap diatur dalam Al Quran dan Sunnah Nabi Nya. Tinggal percaya atau tidak dan mau atau tidak. Walloohu a’lam bis showab",Advocacy,
"ada kocak
Jika FH UI(kampus fakultas hukum terbaik se indonesia) tidak bisa menyelesaikan kasus ini, masa depan ketegakan hukum di Indonesia terancam",Advocacy,
maafkan saya kak sbg cowok malu banget sumpah 🙏 heran ya anak fh padahal 😝🥺,Supportive,
ini kalo beneran gak di DO kebangetan si,Advocacy,
"Kalau kasus individual begini pada garang. Menunjukkan penuhnya kemarahan sosial rakyat pada situasi saat ini. Tapi buntu dan mati saat pengusutan kasus pejabat atau pemerintah. Seperti kasus ijazah palsu, obrak- abrik UU demi tambang oligarky atau UU pemilu di bawah umur, kasus antrian kejang2 atau bahkan meninggal akibat vaksin covid sampai kasus menu Embege",Advocacy,
nyeh emg ui jelek tp org org taunya yg jeleknya doang,Neutral,
betul organisai organisasi itu tidak penting baik buat pengalaman atau untuk pembenrukan mental dan karakter katanya. sama sekali ga penting dan ga ngaruh. yg ada malah bisa dapat pengaruh negatif. toh kita sudah ada dalam organisasi terbesar yaitu dunia ini yg akan menggembleng kita.,Neutral,
setuju king,Neutral,
"bukti yg ganteng blom tentu baik but,yg baik udh pasti ganteng",Neutral,
"Hah mana ga paham si kak, mereka buat grup chat buat ngomongin badan perempuan, ngomongin pelecehan yg mereka lakuin ke perempuan juga, isi pembicaraannya bahkan ada dosen juga dan teman terdekat pelaku",Neutral,
"yg paling penting harus tau dulu arti inside jokes. kalo udah ngerti, ini harusnya banyak yg kena masalah sama persis kaya gini. karena yg lain inside jokesnya ga go public.",Neutral,
Yang penting orang yang melanggar hukum adalah orang yang paham hukum,Neutral,
ini yg kelas internasional atau reguler?,Neutral,
"ngomongin mesum rame², pikiran mesum diobral, ga punya malu! pikiran mesum bukannya dihilangkan malah diumbar dijadikan forum! Gila! Kasihan orang tuanya, pasti ngrasa gagal didik anak.",VictimBlaming,
Let us fight to support to eliminate them 🤲🏻🤲🏻🤲🏻🤲🏻 //safe FH UI //lesson of life for all of generations 🤲🏻,Supportive,
setahun lagi tamat yaa,Neutral,
"@Deaalssss:Hah mana ga paham si kak, mereka buat grup chat buat ngomongin badan perempuan, ngomongin pelecehan yg mereka lakuin ke perempuan juga, isi pembicaraannya bahkan ada dosen juga dan teman terdekat pelaku",Neutral,
jadi takut deh berpakaian di luar sana😭,Neutral,
"lsraeI 🙏 😎 🇮🇱 ❤️ sebagai penemu internet hadir Memantau, para mahasiswa, dosen, ustadz dan pihak lainnya yang gemar melakukan pelecehan di lndonesia",Neutral,
aminn bun semoga sehat'selalu,Neutral,
Boong dari maneee gw nontonnya dari papua jam 4 di sini jam 2 disana btw …. 🤪,Neutral,
"Pemerintah segera bertindak utk tutup fakultas hukum UI, krn intelektualnya rusak, moralnya rusak, imannya rusak, adabnya rusak, kampus yg selama ini paling benar, berkoar koar jelekin pemerintah, ternyata allah buktikan justru yg rusak adalah universitas indonesia itu sendiri, rakyat sdh muak dgn universitas indonesia yg sok paling benar, paling hebat, paling populer, paling pintar, dan ternyata allah putar balikan fakta yaitu kampus yg ddh tdk berakhlak.",Advocacy,
logika aja mereka calon orang hukum loh?? apa kita bakalan terus2an normalisasi pelecehan yang salah itu korbannya? mau diletakkan dimana terus harga diri perempuan?,Supportive,
"yahh ini sih malahan dikampus"" terkenal n banyakan isinya dari kalangan anak orang berada kelakuanya malah makin"" ini yg gua rasain aja ya temen"" gua yg benran kaya dari lair krlakuanya ada aja karna dia berasa di safe zone dia punya yg bakal beresin semua kelakuan dia sedangnkan temen"" gua yg emng kalangan menengah kebawah rata"" malah bener"" aja kelakuanya ibarat dia udah mode survival dia udah ngga mau bertidak yg bakal ngerugiin dia makanya sebisa mungkin ga aneh""",Neutral,
"ngga tau orang lain yang pernah kuliah, tapi aku pribadi ngerasain perubahan setelah kuliah gimana, dari cara bicara, cara menanggapi masalah, itu beda dengan beberapa temen yang maaf ngga kuliah, tapi kalo yang lulusan SMA/SMK masih mending kak obrolan masih nyambung, tapi kalo dibawah itu *maaf aku malah sampe dibilang sok bahasa tinggi, padahal mungkin dia yang nggak ngerti. tapi yang lulusan SMA/SMK lebih suka tanya apa yang mereka nggak mengerti. ada pribadi yang dari sananya memang sulit diubah, ngga mau mengikuti pendidikan yang dia enyam. ada yang memang udah cerdas secara tata bahasa dan pemikiran meski tanpa kuliah, dan ada juga yang harus berpendidikan tinggi dulu baru dia bisa berprogress—dan aku sendiri tipe yang ini. jadi bukan berarti dengan adanya kasus ini jadi underestimate dengan perkuliahan yah ka🙏🏻 kalau memang ada biaya, sekolahlah setinggi²nya, terutama untuk anak cucu kita.",Neutral,
busett jalannya berasa idol,Neutral,
"No wonder Najwa Shihab bisa sekeren itu, ternyata ruang tempat dia tumbuh sekeren ini. Semoga kaka dan lainnya bisa jadi Nana-Nana selanjutnya🥺",Neutral,
buat ngacak ngacak sistem hukum,Neutral,
"JANGAN  DISALAHKAN  KAMUS NYA DONG 
INDIVIDU  NYA  SAJA TDK PUNYA MORAL 
PECAT DARI UI / PROSES

MAKA NYA  SERAHKAN  JUGA KPD  GURU  JIKA BERADA  DI SEKOLAH 
KLU MURID  KURANG AJAR HARUS  DI HUKUM 
BUKAN LAPOR ORTU 
DARI SEKOLAH SD SMP UNIVERSITAS  HRS MELAKUKAN HAL INI

KLUARKAN DARI SEKOLAH UTK MEMBUAT JERA  
ORTU JG IKUT CAMPUR KLU MEMANG  ANAK NYA BERMASALAH DAN KURANG AJAR  !!!!!",Advocacy,
Harusnya di pecattt para oknum mahasiswa ini!!!! Dan lanjutkan ke proses hukum!!!!,Advocacy,
"jadi kalau g di DO, brrti ""Universitas Hukum Terbaik di Indonesia"" hanya sebatas klaim sepihak. begitu ya?",Advocacy,
Belajar hukum untuk melanggar hukum 👊👊👊👊👊,Neutral,
mba yg baju belang mantep bgt maju,Supportive,
salfok sama yng kecolok matanya😹,Neutral,
Ui Ui..Universitas Udar Ider 😂 nu paham org sunda hungkul sih 😂 Sabenerna mah nu karieu teh loba..Cuma yah kabeneran weh Ui nu apes krn dishare kamana2 😅 Ternyata mahasiswa ayeuna makin kadieu makin bobrok 😁,Neutral,
"entah kenapa siklus kyk gini selalu berulang😮‍💨
(oknum berulah - diprotes - dibungkam dgn alasan merusak nama baik kampus - redup)",Advocacy,
UI ADALAH UNIVERSITAS TERNAMA DI INDONESIA TERNYATA DIHUNI OLEH MANUSIA HINA DAN RENDAH TAK BERMORAL😊,Supportive,
moderator nyaa kerewnn bangewttttt gue yakin dia juga marah tapii keren bangeett bisa setenang ituu 🥰🥰🥰🥰,Supportive,
Aamin ya robbal alamin,Neutral,
"MAHASISWA2   "" UI "" ....???.
KALAUUU   "" DEMO "" ....SOK""  DIAA
.....PALINGGGG   SUCI ...??????
HAAAAAAAA   PALING  KOTORR",Supportive,
"Fakultas hukum , smua laki2 kah 16 org?",Neutral,
"bunda yg terhormat, organisasi tidak bersalah. tapi oknumnya. organisasi mewadahi sumber daya manusia. saya kuliah di universitas yang ada di Manado, saya masuk organisasi dalam kampus badan tadzkir dan di luar kampus yaitu himpunan mahasiswa Islam tapi tidak ada tuh seperti mereka ini. di sana kami di ajarkan berfikir kritis, menjadi pribadi yang berguna. istilahnya agen of change. karna kebanyakan orang masuk organisasi hanya fomo doang. bukan niat buat meningkatkan kualitasnya.",Neutral,
Kampus abal2.g ad tindakan harusnya DO.tapi sayangnya cuma sangsi..,Advocacy,
"Pelecehan apa? Lewat apa? Siapa yg dituju? Di grup? Ranah pribadi ya? Kena pasal apa? Uu apa? Kalo emg pelecehan verbal artinya pelaku melontarkan kata2nya ke korban langsung seperti cat calling, nah kalo ini kasusnya apa?",Neutral,
Hebat juga ya Pak uk ltas Hukum UI bisa bebas melakuan pelecehan. Bisa jadi teladan bagi Ini Persitas Hukum lain.,Neutral,
Jangan biasakan mesum berkedok jokes,Supportive,
pelaku KS di fakultasi hukun UI ka,Neutral,
salfok gua banyak yang nge gifttt😭😭😭,Neutral,
Chat mesum ttg mahasiswa itu penyakit. Chat mesum ttg dosen itu mahapenyakit,Neutral,
haha.. paling dimaafkan sepihak.😅,Neutral,
"Ketika masuk Universitas Indonesia kini banyak yang melalui jalur finansial ketimbang prestasi akademik, mengakibatkan munculnya kasus seperti ini?",Neutral,
kakk nasib aku yg umum ya 12 tahun gimana 😳,Neutral,
Ngak Usa bawa 2 negara emang negara tau kalau ada ? Pelecehan di UI begini lah manusia 2 penyakit hati selalu menyalakan pemerintah  😂😂😂,Neutral,
jangan ada lagi univ yang menerima..,Advocacy,
"Tidak ada satupun dari kita yang tidak jatuh dalam kesalahan, cuma masalah besar kecilnya, ketahuan atau tidaknya. Allah سبحانه وتعالى maha menutup aib. Saran saya pribadi sebagai seorang muslim sebagai seoranh ayah yang juga punya anak, sebaiknya anak-anak ini diberikan kesempatan untuk terus belajar, meneruskan pelajaran, perjalanan mereka masih panjang dan masa depan masih terbuka luas. Berikan bimbingan, dampingi perjalanan hidupnya ke depan degan arahan dan ilmu agama. إِنْ شَاءَ اللّهُ mereka akan jadi anak-anak yang lebih baik. Kalau orang tua saja banyak yang terjatuh dalam kesalahan, banyak yang korupsi, bahkan orang-orang yang sekolahnya sudah sangat tinggi. Apalagi anak-anak kita yang baru menjadi dewasa, baru tumbuh di zaman fitnah luar biasa. Mereka pantas diberikan kesempatan, dan hukuman yang mendidik.",VictimBlaming,
Hrs diberi hukum sosial dan minta maaaf dan sebut sdh melakukan apaaa aja,Advocacy,
PECAAATTT AIA DO DGN TDK HORMAT,Advocacy,
macam ganteng x ku tngok kelen,Neutral,
knapa jdi DO?,Neutral,
"PLS DO & BLACKLIST AJA ANAK KAYA MEREKA, ANAK HUKUM LOH GIMANA NASIB INDO KLO PUNYA APARAT HUKUM KAYA MEREKA NANTI.",Advocacy,
Bukan urusan saya,Neutral,
"ini beneran atau lagi latihan drama, kalo benar mereka calon penegak hukum masa depan",Neutral,
"​@jhonwalker6700grup chat mesum, ada yg bocorin grup nya, bukan pelecehan fisik",Neutral,
"ga semua orang punya apk x, tinggal jelasin apa susahnya 🤣",Neutral,
"KALO SAYA YANG BODOH JUSTRU HARUSNYA PEMBUKTIAN HUKUM TERBALIK :
1.KALO YANG BIKIN ULAH SATU DUA ORANG BISA DIBILANG OKNUM
2.KALO SAMPAI SEBANYAK ITU ,MAKA PERTANYAAN KEMBALI KE KAMPUS ( BUKAN KE MAHASISWA  DAN RAME2 KITA BULY , BUKAN BERARTI SAYA SETUJU DENGAN TINDAKAN PARA MAHASISWA TERSEBUT ) , BAGAIMANA CARANYA KAMPUS MENGAJARKAN AKHLAK / BUDI PEKERTI ?????!!!!.... , ( TIDAK ADA  SAMA SEKALI / DOSENNYA JUGA BEGITU ) ????
 APALAGI INI DI FAKULTAS HUKUM",Advocacy,
tiktok gw ketinggalan infoo,Neutral,
jelek semua jauh gantengan juga gua,Neutral,
