text,stance
"Menjijikan, sumpah aku kalau jadi cweknya gaterima sih jujur",Supportive
Pantas hukum' di si indo begini ya😅,Neutral
Oalahh ini yah...kirain peleceham secara fisik maupun lisan di depan umum😅😅..ternyata omongan laki2 di group doang..heboh bener digoreng nya. Biar pada diem kalik bem2 nya trus diganti yg pro pemerintah 😅,VictimBlaming
jalur haram,Neutral
malah kasih gift,Neutral
"dari awal mau di audit aja, yg pertama dikeluarkan itu ada 2 org. kemungkinan sih nntinya yg kena sial pasti cuma 2 org itu keknya bg. krna sisanya pada ber 'power' dan 'penting' katanyaaaaaa",Neutral
"lagian di ui mau lu se kriminal apapun yang penting dari keluarga terpandang mah aman anjir, bukan cuma di ui doang di kampus kampus gede lain nya pun begitu",Neutral
"baru juga buka tiktok udah kepo, jelasin dong apa yang terjadi.",Neutral
"ihhh ketinggalan, mlh ketiduran😭
pdhl udh nungguin",Neutral
DISINI SEMUA CEWEKNYA KEREN KEREN PUBLIC SPEAKINGNYAAAA!💗,Supportive
"spy kasus2 serupa ini tdk terulang lg... mk kampus spy lebih byk memfasilitasi kegiatan2 yg positif buat mhs nya , spt pengajian2 mahasiswa, lomba2 kreatifitas seni , teknologi ,dll",Advocacy
"jangan di do, skorsing aja.. kasih pembelajaran buat masa depan mereka.. toh gimana pun juga mereka sedang belajar menjadi orang baik",Neutral
"sedih bgt pas dosennya bilang ""pas saya liat grupnya, ternyata nama saya juga ada di situ"" 😭",Supportive
Di Twitter banyak kak.,Neutral
"sekitar sebulan yang lalu ini mah,  spanduknya udah ada",Neutral
"iya lagii, info dong yang ada vidio fullnyaaa😭",Neutral
makanya jangan menilai orang dari muka,Neutral
"Pelecehannya emg diungkap di publik atau hanya sebatas di grup? Perilaku emg tidak dibenarkan, cm respon publik lebay.. para mahasiswa Gen Z pada sok over kritis so idealis.. 

Kalo di permasalahkan kasus kya bgni akan sangat banyak",VictimBlaming
"jujur, gk ada yg cakep sama sekali.",Neutral
lha bapaknya yg punya perusahaan,Neutral
"Mereka yang melakukan adalah salah besar...harus diproses, tapi hati2 juga, takutnya ini pengalihan isu juga",Neutral
Apa kbr itu ortu ortu nya yaa ? Semoga jantungnya aman anak2nya yg dibangga2kan ternyata memalukan,Neutral
kak? aku padamu🙏🏻,Neutral
bentar deh masa gak ada hak bagi pelaku utk dapat perlindungan juga bukannya para org org yg menghina mereka dll itu juga salah yaa mereka kan juga melakukan tindakan verbal parah juga . harusnya gak gini sih caranya pakai cara profesional aja ini kyk diadili langsung sama mhs yg lain😢,Neutral
As? Ko sampai sebanyak itu,Neutral
kembali kasih kakak🥺🩷⭐️,Supportive
Jika orang tuanya penegak hukum maka sy harap orang tuanya juga kasih sangsi moral viralkan orang tuanya agar kedepan lbh hati2 menjaga martabat keluarganya,Advocacy
pas awal muncul ini vt itu kan ada deskripsi di video nya emang gabisa baca?,Neutral
bisa turun pamor ini UI 😭,Neutral
"g paham gmn si ka pdahal sesimpel itu loh tinggal baca 😌, mrk ini 16 pelaku seksual, mrk bikin group line yg awal ny biasa aja lama lama bahas tubuh cewe lah apalgi korbannya juga banyak bgt sampai dosen dan berita terbaru nya ternyata ada beberapa korban tau dari tahun 2025 klau mrk kena pelecehan akhirnya minta bantuan Krn g kuat 🥹",Neutral
Angkatan berapa nih?  16 orang,Neutral
"Sudah..sudah..
Pukulan sosial yg terjadi atas pelaku Pelecehan itu merupakan tamparan keras dan malu yg luar biasa yg bakal berakibat mahasiswa tsb di DO, perudungan disosmed, perudungan di lingkungan keluarganya terutama Ortu-saudara2nya dan teman2, dan juga terhambat dalam melanjutkan karir dlm mencari pekerjaan kelak.",Neutral
sama kak sampe kesiangan masuk kerja,Neutral
bukti pendidikan gak menjamin moral...,Neutral
Gimana nasib orang tua ke 16 siswa tersebut,Neutral
"kalo liat di X pelaku ada yg anak dekan fib ui, anak wadek fh ui, sama ponakan dekannya, cmiww🙏",Neutral
@ssayD @sephia @andin stecu kelas kakap😝 @k4r_ @☆ 😭,Neutral
"mending turu si kata ku mah
kesehatan diri juga penting , toh ada yg ngurusin juga ,ntar juga pasti di DO pelakunya , miris bgt si emang 😬
keep healthy guys ☺️",Supportive
haduuh menyedihkan sekali... 😢,Neutral
viral viral,Neutral
Mahasewa Kerjaannya demo politik,Neutral
ini kapan live nya?,Neutral
mas anis mas anis,Neutral
tolo lllll,Neutral
@iam.piraaaw inilohhh kata gw,Neutral
Pecat mereka. Mahasiswi-mahasiswi korban pelecehan jadi tidak nyaman jika mereka tetap di kampus UI. Rektor dan Dekan mesti berani memecat mereka. JAngan licik. Mereka adalah penjahat seksual.,Advocacy
"Calon penegak hukum tapi attitude nya minus.
Penegak hukum di indo sudah buruk...eh calon penerusnya malah kek begini...semakin buruk aja ni penegak hukum di indonesia!!!",Neutral
Udah gila semua😢,Neutral
Penasaran pelecehannya gmna,Neutral
"GEBUKIN AJE SM MAMPUSSS.... MEREKA PENJAHAT KELAMIN GILA KWADRAT... PASTIKAN MEREKA DO TANPA ADA YG DILULUSKAN, BAHAYA...BATU JD MAHASISWA BEGINI... APALAGI NANTI PUNYA JABATAN....",Advocacy
"Akibat sistem pendidikan sekuler, melahirkan manusia2 rendah aqidah,rendah moral.",Neutral
@fitrahhh @F @🦖💐 @raniya @Bilaaaaa_⚡ @lisna @mooeenn._ @meraa @marisaaa,Neutral
kekerasan hanya di cht apa berbetuk fisik media? jelasin ih blm paham,Neutral
"merinding denger public speaking nyaaa, kerennn!!! 😭🫰🏻🫰🏻🫰🏻",Supportive
"Cuma kepingin tahu asja.
Ke 16 mahasiswa UI  tersebut, kira-kira apa ""agamanya"" ya ...... !!!!?????
Kasih tahu saya dong ..... !!!!!
",Neutral
"@mediagrafika7740 Coba deh anda pikirkan, mereka (pelaku) melecehkan di grup WA tertutup dan rahasia, sedangkan korban melecehkan pelaku di muka umum dan terang-terangan bahkan ada yang merekam segala",VictimBlaming
njirrr edannn😭😭😭😭😭 sorry kak aku gatau,Neutral
"bodoh jangan diumbar malu maluin, ketika mahasiswa hukum terlibat dalam kasus KS, muncul pertanyaan besar mengenai pemahaman mereka terhadap nilai-nilai hukum yang dipelajari di kelas, hukum bukan sekadar teks atau hafalan pasal, melainkan tentang etika dan penghormatan terhadap integritas orang lain, kasus ini menunjukkan adanya jarak yang lebar antara pemahaman akademis dengan praktik perilaku nyata. Ini bukan masalah konyol lagi melainkan kejahatan",Advocacy
sedih banget sebagai cewe..,Supportive
"ga bermaksud memanfaatkan keadaan, tapi semoga kalian semua aman, nyaman, diberi keberlimpahan, biaa bangun/renov rumah sendiri.
Kalau ada niatan mau bikin/renov, butuh jasa desain, boleh banget DM yaa, untuk portfolio lengkap😊✨️",Neutral
"Ko ini bisa ke up k sosmed gini? Biasanya di tutup” i ya kasus sperti ini ,, dengan dalih menjaga nama baik kampus",Neutral
"jujur sedih bngt,,peluk jauh buat semua perempuan",Supportive
Penjarakan calon predator,Advocacy
"cewe""nya keren bgttttt aku sbg cewe yang DITOLAK SAMA UI, bangga bgt sama kaliaaannnnnn 😍😍😍💗💗💗 buat para korban peluk jauh dari kita kita yang disiniii ya, kita bakal dukung kalian teruss GO GURRLLLLL",Supportive
banyak kebetulan yang ke bongkar baru ini,Neutral
Astaghfirullah Ya Allah😭😭😭😭,Neutral
Panggil Orang tuanya sekali,Advocacy
disisi lain ada anak yg pengen kuliah🥺 kenapa sih orang2? aku dulu kerja pgn kuliah walaupun ga kesampaian sampai sekarang rasanya sedih bgtt ada orang yg bisa kuliah tapi ga manfaatin itu🥺,Neutral
​@stroberimanggaapel_1harus selesai bukan berinao inolwh,Neutral
"jujur, ibu nya se kuat itu masi jadi moderator juga :(",Supportive
IYAA WOI NGANTUK BGT NUNGGU PRINCESS,Neutral
"kek baca pidato la minta maaf nya, gak lngsung ke inti, yg penting keliatan banyak yang dijelaskan aj",Neutral
Akibat dari tidak ada seleksi ketat masuk perguruan tinggi 😂😂😂,VictimBlaming
"👏🏻👏🏻👏🏻 i really like this way of conveying things, please explain to those who still dont understand why this is being exaggerated.",Supportive
"Dimana2, bukan baru sekarang ini, yg berani ngongkapin, rata2 di perguruan tinggi pasti ada pelecehan, sy dulu kuliah di iain, th 80an banyak yg terjadi",Neutral
"ini hanya sedikit dari sisi gelap dunia yang terungkap. masih banyak sisi dunia yang tetap gelap, tanpa diketahui. karena kita hidup di sisi terang.",Neutral
TAAAAAAKKKKKUUUUUUUTTTTT,Neutral
Baru keluar dari goa lu ya🗿,Neutral
gabs berkata² semoga anak² kita dijauhkan dr hal² yg ga baik..,Supportive
"enak bgt ya lo ngomong “yaelah maafin aja, namanya manusia”??? gimana klo lo yang ada di posisi korban. pola pikir kayak gini yang bikin pelecehan terus dianggap sepele,, kita sebagai cewek udah ngerasa nggak aman,karna tempat yang SEHARUSNYA kita pakai untuk MENUNTUN ILMU malah meninggalkan trauma dan luka disana,,dan elo masih bisa santai bilang “maafin aja”?? coba pakai otak dan empati sedikit,, lo tau gasih karna lo ngomong begini pelecehan diindonesia dianggap normal dan santai, mikir dong? ;(",Neutral
"Cari aja di pencarian kasus FH UI, intinya ini adalah masalah KS. Btw lagi hot""nya ini kak... search aja langsung",Neutral
"Aku ketinggalan, trus sanksinya apa gaes",Neutral
"Dosen jg jd korban?
Gmn itu ceritanya",Neutral
ada apa ini aku jg gak tau,Neutral
"semua kampus lingkungan pasti ada gasi cuma ga ketuan aja , mangknya kita gabisa nilai org dari sampul nya doang..",Neutral
Kuliah Hukum tapi kelakuannya melanggar Hukum😂 Peak mending tidur aja g usah kuliah... di biayain mahal2 bukannya pinter dan beradab malah dongok,VictimBlaming
"Aamiin, semangat ya❤️",Supportive
NJIRRRR NGERAKEUUUUN SIAAA KABEEEEH TEEH MAAF MAAF NGEUNAH WEEH 😠😠😠,Neutral
perlunya dan pentingnya SQ tdk hanya IQ,Advocacy
tapi gacor juga sampe tengah malem banget rapat ini,Neutral
"belum sampai sekarang kak, entah anak pejabat mana pelakunya",Neutral
yang calon sarjana hukum kelakuannya begini plus kelakuan aparat hukumnya juga...waduh ngeri hidup di indonesia,Neutral
"bntu jawab, gatau😁",Neutral
"Pada baperan semua,,,, katanya mahasiswa,,,, diskusilah",VictimBlaming
dunia perkuliahan lgi g baik' aja nih,Neutral
terus lo gak kasian sama korban pelecehannya,Supportive
"UI lagii
""Universitas INDONESIA""💔",Neutral
"Mahasiswa2 ini merasa sok super, korban tidak hanya mahasiswa, dosen juga jadi korban. 😮",Neutral
pelecehan itu kaka,Neutral
lu yg gabisa nangkep poin,Neutral
"Buat malu aja, UI looh...",Neutral
km tahan aja komen nya ntar keluar menu nya,Neutral
sampe gemetarn nangis😭,Supportive
Urat mlunya GK aplgi otknya,Neutral
mantep nih kaka berani speak up.,Supportive
WKWKWKWK 😂😂,Neutral
ladang bisnis,Neutral
"nyerah nnton di set 3, dan yap kesiangan bngun jam 8",Neutral
FAV BESYONK KTA 😜💜💜,Neutral
lah kasus beda lagi dengan yang chat wa group???,Neutral
check story😏,Neutral
"minta maaf karena ketauan, bukan menyesal🤷‍♀️🤷‍♀️",Neutral
mreka bikin grup wa buat bahas s*ks atau pel*cehn s*ks gitu kak,Neutral
"Pantesan lulusan UI sekarang nggak kredibel, kelas si Gerung di jadikan dosen!",Neutral
"calon calon, menghancurkan negara",Neutral
yang cewe itu korbanya kah?,Neutral
ya berarti ruak moral,Neutral
"Tolong untuk semua HRD, catat 16 org dr fakultas Hukum UI, utk tidak diterima kerja di perusahaan manapun, termasuk rekam jejak digital nya
Blacklist dulu yg dr alumni UI fakultas hukum",Advocacy
"bisa jadi emang pada pinter kak, itulah mengapa adab itu selalu diatas ilmu",Neutral
"Makin banyak oenegak hukum melangar hukum, maka aka  disusul calon penegak hukum yg mencoba praktek bagaimana jadipenegak hukum melanggar hukum.",Neutral
Sakit sakittt😩😭😭😭,Neutral
iya synk parah ya,Neutral
batu jawab katanya pelecehan se*ual,Neutral
di x jg banyak yg spill ortu mereka mencoba melindungin,Neutral
"16 mahasiswa UI melakukan pelecehan kepada teman, dosen dan bnyak lgi melalui grup chat, kurang lebih gitu ka",Neutral
"itu mahasiswa dari fh ui, ngelakuin pelecahan lewat",Neutral
@badyapppp @Dev @🤍🐣,Neutral
stop denger lany,Neutral
oh kr1sten,Neutral
kasus apa si ko ketinggalan gua padahal scrol dari tadi pagi,Neutral
Halah mereka gak bakal ngapa ngapain. Dari dulu UI jelek,Neutral
btw ini live tiktok di salah satu akun mahasiswa fh ui. aku nonton pas jam 2 pagi. kemungkinan live nya dari sebelum jam 2,Neutral
Fakultas Hukum...UI..... Astaghfirullah...,Neutral
"UI itu sebagian cermin kampus indonesia karena sebagian masalah, prestasi dsb ada dikampus lain juga sayangnya. Bedanya di UI lebih teradvokasi karena budaya metropolitan jakarta lebih frontal:)",Neutral
itu baca caption ga,Neutral
Wajid di pidanakan lah agar yang lain tak ikut meniru,Advocacy
kuliah mahal2 malah dibuat main2,Neutral
"pendidikan ga menjamin adab, agama ga menjamin moral",Neutral
"Kalo nanti sampai jadi pejabat hukum bisa bahaya nih, dikit2 minta suap pakai uang + minta WTS, habis perkara ! Ajor Cok !",Neutral
"itu knp kaka"" gw ga paham + baru liat🙏🙏",Neutral
rapih amat yaa baju nya kek masa depan nya terjamin aja,Neutral
hahh dosen?!😭😭,Neutral
Belajar hukum utk membela yg lemah/ bersikap adil... Jangan berbuat yg membuat masyarakat meragukan kualitas mu,Advocacy
"Ya bener, mereka kalau demo seolah olah orang paling suci",Neutral
iya ih cakep,Neutral
@youknowshaa_🍵 😭😭,Neutral
"totally agree, mahasiswa fh ui udah bagus keren mereka menyuarakan mendukung para korban sampe rela ikut sidang dari jam 5 sore sampe jam 3 pagi buat dapetin keadilan untuk seluruh korban, tapi yang jadi masih pertanyaan nya apakah pihak kampus bisa memberikan sanksi yang setimpal untuk para pelaku? (misal di DO) hasil akhir dari kasus ini bener bener penentu gambaran hukum di negara kita bakal kayak gimana kedepan nya, udah mah kampus ini tuh bukan sekali dua kali menutupi kasus dan para tersangka, kasus akseyna yang sudah 1 dekade lebih aja sampe sekarang masih pada bungkam kan pihak kampus? walaupun para mahasiswa UI pun selalu mengadakan peringatan kematian akseyna tapi petinggi petinggi di kampus nya masih aja tutup mata",Advocacy
Lihat videonya ini jg emosi,Neutral
"ngaco lo. anak gw kterima mandiri PTN lo kira dia ga belajar mati2an. les sana sini, les online. kluar uang buat beli buku. jangan lo sama ratakan semua orang hanya krn dia dtrima jalur mandiri. bayar ukt nya aja sllu plg akhir nunggu uang terkumpul. Mandiri bukan melulu tentang uang, tp takdir Allah.",Neutral
ya terus apa kalo bukan minta maaf njr😹,Neutral
melakukan pelecehan terhadap wanita di group chat,Neutral
Tapi si korban emang terlalu dibesar besarkan sih. Susu nya mksud sy 😮,VictimBlaming
yang mana kk😭 dosen nya,Neutral
"izin menjawab pelecehan, dosen di ui kk",Neutral
Kawal kasus ne supaya eng ad gi k jdian kasus sexsual,Advocacy
kata kata yg sering di keluarin😭😭,Neutral
pelecehan korban mahasiswa dan dosen,Neutral
"ini awalnya live biasa atau emg udh gini ges?
ketinggalan info weh😭",Neutral
"plchn yang dilakukan 16 mahasiswa FH UI kak, korbannya mahasiswi, bahkan smpe dosen² nya",Neutral
Iya apalagi si munif ih,Neutral
"Ya mereka kuliah di salah satu Univ terbaik, ya patut lah mereka sombong... Yg anehh mereka yg nggak kuliah malah sombong dan meremehkan yg kuliah.. Itu baru aneh 😹. Yg katanya percuma kuliah tapi nyari kerja susah... Tapi mereka mengeluh pendapatan mereka nggak sesuai dengan yg Sarjana... 🤣😹",Neutral
Gak ada rasa penyesalan dari wajah pelakunya..🤔mereka malah dongakan  wajah ke atas atau ke samping bukan nya nunduk ya ...,Neutral
denger denger yg publish salah satu dari 16 org itu namanya munif,Neutral
apapun ada di negeri ini,Neutral
Aamiin Allohumma Aamiin,Neutral
"Yg olok"" temenya kyak gak pernah ngelakuin dosa aja. Semua manusia punyak aib hanya saja Allah masih menutupinya",Neutral
plenger bgt pls😭😭,Neutral
kaya nya anak2 orang kya kak jd berani😭,Neutral
kalau gak di DO terus diapain hei? kebayang gak perempuan2 disana terutama korbannya bakal gmn perasaannya harus satu kelas dan belajar bersama mereka para pelaku? dan juga para dosen yg korban juga? apa harus mertahanin perasaan 16 pelaku dibanding semua perasaan korban2? jujur gw gak kebayang sih harus ada di posisi korban yg harus tetap liat muka pelaku tiap harinya,Supportive
kasus pelecehan di fakultas hukum UI ka,Neutral
"sumpah ngeri banget kan, calon penegak hukum malah jadi pelaku pelanggar hukum",Neutral
Bem itu daripada Demo tolong di bina mahasewa mesum.,Advocacy
"setujuuu, disitu kaya langsung keluar semua apa yang dihati gue, walaupun gue bukan korban, tapi bener kata kakanya, sebagai cewek ngga ngerasa aman banget ternyata😭sakittt",Supportive
"Cba dehhh priksa jga noh fakultas undiv,,,smga korban2 plecehn di undiv brani brsuara",Advocacy
Mereka pelaku adalah   calon calon PEMERKOSA .,Neutral
Belum jadi apa2 sudah jadi penjahat apalagi kalau sudah jadi pengacara bahaya,Neutral
"BANGG AWAS VT NYA DISURUH TAKEDOWN, soalnya tadi pagi saya komen di salah satu vt tentang kasus ini (viewers banyk) dan sekarang vt nya udah di hapus (hilang)",Neutral
"Kau ini IQ jongkok 
Yg protes kebijakan ngutang Jokowi yah dah benar itu..krna itu terbukti bikin rakyat skrng nyungsep ke gorong2 😅😅",Neutral
"yg miris nya lagi masuk medsos
kenapa tidak di japri orangtua
pihak Universitas tersangka dan korban,. sayang sekali masa depan kalian semua jadi hancur akibat kelakuan buruk memalukan Universitas jadi jelek",VictimBlaming
"kalo nanti ngga ada titik terangnya, inget, kan ada yg bokapnya isilop, di UI kan juga banyak yg jual bangku, lu kira tamtama TNI POLRI doang yg jual sawah, di UI juga ada jual bangku buat anak pejabat bosss 😹",Neutral
minimal bahas empati KA. bukan poin cakep ny😅,Supportive
"Tp jujur grup laki laki chat itu emang isinya itu gasii, tp konsumsi dilingkup mereka aja",Neutral
Gk berani DO soalnya nunggu di tf orang tuanya dulu😂,Neutral
korbannya mungkin,Neutral
"Lumrah sih, di dunia cowok. Normal... Emang jaman nya aja yg apa2 di viralin... Trus di kampus ternama lagi. 😂😂😂",VictimBlaming
iya ka sma😭,Neutral
Siapa yg cepuin chatnya yah?,Neutral
PELAKU  DIBERI PILIHAN  -DO APA PIDANA SEKALIGUS CUTI 4 SEMESTER,Advocacy
jadi cewe tu ga aman bgt ya :(,Supportive
coba misal adek atau kakak perempuan lo jadi salah satu yang diomongin di grup itu jadi korban KS nya masih bisa gak lo komen begini????,Supportive
Sumpah gue skip semalam gue kira lagi seminar😭,Neutral
@cloudsy4 @hey.loo @Blubuppersss @-Hm @🐳,Neutral
"Catat nama2nya, jgn sampai suatu saat mereka berkarir di dunia HUKUM.",Advocacy
"yg ada, jangan sampe ni kasus ketutup sm kasus lain",Advocacy
"pelecehan ktanya say, Klo baca komentar mh",Neutral
Pengakuan: Para terduga pelaku secara sukarela mengakui perbuatan mereka dan meminta maaf melalui grup angkatan sebelum kasus ini meledak di publik,Neutral
pdhl bapak korban juga bukan ecek²,Neutral
small mistake? bilang itu ke korbannya coba,Supportive
"Sekali lagi, pentingnya adab diatas ilmu. Contohnya udah banyakkkkkk",Neutral
ini jam brpa kemaren,Neutral
"Dimana mau letakkan muka, harakiri saja",Neutral
percuma ckp otaknya bkp😹😹,Neutral
oh pelecehan kata2 massal di chet group,Neutral
"Apaan sih hubungi ke demo,emang ini mewakili UI apalagi BEM apa??kasian amat lu ga nyambung,buktinya mereka dibenci tuh rame2 karna otaknya kayak termul",Neutral
Bukti bahwa ilmu tanpa moral sia sia,Neutral
@fy @🐦‍⬛ 😭😭😭,Neutral
CPNS 2026 dominasi SMA saja usia maksimal 37,Neutral
Inilah masa depan Indonesia,Neutral
padahal chat2 begini biasa aja digrup WA  kok dipermasalahkan,VictimBlaming
"semangat girls, jangan takut, kita dukung🥰🥰",Supportive
Duduk masalahnya gimana ya? Ini mahasiswa mengancam mahasiswa lain apa gimana?,Neutral
Yang teriak² itu apakah tidak mempunyai Dosa?,VictimBlaming
Harga diri harus dijaga apapun alasannya!! Paham kan.,VictimBlaming
yg jdi korban nya yg mana? 😭,Neutral
Cuma saran. Daripada malu berkepanjangan. Sebaiknya. Dua orang ini Keluar dari UI aja😅.,Advocacy
"Mundur jadi mahasiswa universitas Indonesia bikin malu sudah,adab nya kemana",Neutral
"KELAKUAN GEN Z, ngeri guys wkkwkwk",Neutral
Pecat semua yg terlibat dan bawa ke pengadilan secara jujur dan dihukum.,Advocacy
"indonesia ni ya dari segi :
Keamanan hancur
hukum hancur
pendidikan hancur
kesehatan hancur
asli negara parah",Neutral
untuk kalian yang belum tau kasus verbal coba cari di google. jadi inti kasus mereka bikin grup pelecehan dan penghinaan gitu kurang lebih 🙏🏻kalo salah koreksi,Neutral
"Sudah terbayangkan bagamana masa depan Indonesia kedepan.??
Para pejabat yg korup dn tak bisa mnjadi contoh baik bgi generasi muda.
Persis,bagaimana kampus ini mencetak cendikiawan2 dn akademisi layaknya negeri ini yg melahirkn pahlawan2 dn tokoh2 bangsa terbaik,namun sekarang d hancurkn oleh segelintir mahasiswa yg kehilangan adab dn malu layaknya negeri ini yg d hancurkn oleh manusia2 rakus tak punya malu.
Sekarang,ilmu dn adab adalah sumber daya yg langka d negeri ini,layaknya kepercayaan masayarakat kpd para pejabat yg begitu sulit d temukan d negeri yg luas ini.",Neutral
"Yg pada komen muter”/ nggak ngerti yg dijelasin andovi. Nih gua kasih tau, point yg dia bilang : SEBAGAI FAKULTAS HUKUM TERBAIK DI INDONESIA, UI HARUS BERTINDAK DENGAN BENAR ATAS KASUS INI KARENA PASTI ADA TEKANAN DARI ORG TUA MURID YG DIMANA ORG TUA MURID ITU “ORG PENTING/PEJABAT” KALO SAMPE UI TIDAK MENGAMBIL LANGKAH PENYELESAIAN YANG TEPAT BERARTI ADA YANG SALAH DENGAN HUKUM DI INDONESIA. SECARA FAKULTAS HUKUM TERBAIKNYA TIDAK MEMBERLAKUKAN HUKUM DENGAN BENAR, ADIL DAN TRANSPARAN. Masa gitu aja pada ga ngerti?",Neutral
Makanya mahasiswa banyak yg disikat aparat karna bodoh,Neutral
mksdnya nm dia ( dosen ) di sebut d percakapan kak bukan dia nya yg msk di grup,Neutral
NAMA UNIVERSITAS INDONESIA...SANGAT MEMALUKAN NEGARA...BUBARKAN SAJA UNIVERSITAS INDONESIA,Neutral
"wah iya memang bener, mantap",Neutral
itu korban nya ??? Maaf nanya 🙏,Neutral
Siapa saja yg melakukan pelecehan seksual d hukum jambuk,Advocacy
lagi' ketinggalan berita🗿,Neutral
"pertanyaan gua ""siapa yg nyebarin chatnya""??",Neutral
kumpulan anak stan,Neutral
"perasaaan aku liat tik tok ga pernah telat kok ini ketinggalan jauh ,tolong dong jelasin ini kenapaa",Neutral
Betull kak karna kuasa orang tua,Neutral
Di kampusnya ada satgas PPKPT kan?,Neutral
Mau jalan ke Mad Coffee ya dov?,Neutral
"tolong lah buat para rektor, dosen siapapun yg bertanggung jawab atas kenyamanan mahasiswa/i di kampus
tingkatkan pelajaran tentang adab,, jgn cuma bangga dgn ilmu,, karena adab lbh tinggi dr pd ilmu,, biar kami para org tua yg punya anak perempuan yg baru mau kuliah merasa tenang,nyaman dan supaya kami tdk khawatir, mohon buat semua kampus tingkatkan adab mahasiswa nya,,semoga kasus ini jd pelajaran buat semua",Advocacy
"sumpah marah"" tuh ga bikin lega 😭😭 tpi ga marah malah makin maraaah 😭 peluk semua cwee 😭",Supportive
neraka mungkin kak,Neutral
"ini bukan masalah terima atau tidak bang, mereka masih dalam tahap belajar yang kedepan akan menjadi orang hebat di negeri ini, jadi moral mereka dibina dari sekarang atau dibinasakan jika tidak mau berubah",Neutral
"Lapor polisi tetap, terkait cybercrime",Advocacy
"Entitas itu mendukung ketiadaan ks di lingkungan pendidikan, langsung saja hukum seberat-beratnya. Misal dihukum minta maaf dan patsus 3 pekan yang sungguh sangat amat setimpal. Bravo",Neutral
Rata rata Muhammad 😂,Neutral
"ortu mana dulu kak kalo ortu korban jelas kasihan tapi kalo ortu pelaku mereka malah melindungi pelaku dan sebelum para pelaku keluar semua 16 orang itu yang keluar cuma 2 dikarenakan orang tua dari 2 pelaku tersebut ga hadir dan orang tua pelaku sisanya malah ngelarang sisa pelaku disidang dan di umpetin di suatu ruangan, banyak kak vidionya beredar di x",Neutral
Usut tuntas,Advocacy
"baru buka tiktok eh lngsng ketinggalan berita,fiks gua gaboleh ninggalin tiktok..",Neutral
"Gak cukup dengan DO, harus di-blacklist di semua kampus",Advocacy
"Sebaiknya pihak UI tidak meloloskan para mahasiswa tsb untuk lulus, walaupun nilai akademiknya bagus, sebab kalau sampai berprofesi akan menghancurkan marwah lembaga hukum",Advocacy
live dimana kak akunnya?,Neutral
Luar biasa sampe ada dosen yg menjadi korban...,Neutral
"istilah mahasiswa dikeluarkan dari universitas dan dihapus namanya itu DO (Drop Out), pakdhe",Neutral
Kayak gitu terus muter2,Neutral
"harusnya berani dong, kan belajarnya hukum",Neutral
Do jalan terbaik,Advocacy
"setau aku pelaku ga cuma melakukan ks sama mahasiswa aja, tp dosennya juga cmiiw",Neutral
nunggu 14 orang tidur di atas 😶,Neutral
"Tebakan saya, besok entah DPR atau Pemerintah akan mengesahkan peraturan atau UU tertentu. Seperti, USA bebas mengakses kawasan udara Indonesia.",Neutral
"peluk jauhh buat para korban, semangatt yaaaa💗",Supportive
kronologi nya apa soalnya belum tau,Neutral
Psikis cok 😂😂😂 kebalik lu 😂😂😂,Neutral
UNTUK MAHASISWA UI YANG KELUAR KULIAH SILAHKAN KULIAH DI ISRAEL AJA BIAYA DITANGGUNG ISRAEL NANTI KELUAR JADI MOSSAD,Neutral
"dia minta maaf bukan karna menyesal tapi karna ketauan, lebih penting adab dari pada ilmu karna yg beradab sudah pasti berilmu",Neutral
"mereka minta maaf karena udah viral, bukan karena mereka menyadari kesalahannya",Neutral
kasih sanksi sosial buat para pelaku pelecehan,Advocacy
Hah maksudnya apa kak? Salah satu pelaku kah?,Neutral
ini yg sapa,Neutral
iyaa jirr ada apsi ya 😭😭,Neutral
Gimana klo sodara lo digituin.,Supportive
😂😂 mantab ui 👍👍👍 teruskan karyamu  !!,Neutral
"merinding ihh pgnn nangis bgttt, peluk buat kita perempuannn",Supportive
Kenapa nyalahin UI justru bagus Ada kasus langsung cepat di atasi ..,Neutral
"Kalau menurut saya mereka normal mungkin ada yg bikin mereka sangek huahhahaha,lelaki normal memang bgtu sangek an kwkwk",VictimBlaming
"Pendidikan di kampus lagi sakit parah, mau cari ilmu kok gini amat,hilang kepercayaan masarakat kepada kampus",Neutral
poster apa sih yang ditempel,Neutral
"Setuju, padahal dijalan2 banyak orang asal ngomong asal jeplak tapi ya ga diproses... ini cuman sanksi sosial yang berlebihan kecuali kalau mereka itu maen tangan atau maen fisik. Seharusnya cukup internal saja dan panggil orang tua masing2 untuk dilakukan pembinaan",VictimBlaming
"Alumni UI yang udah jadi ""orang"" mana tanggapannya? Diwawancarai dong alumninya ...!😂 Sekelas Universitas Negeri kok bisa mahasiswanya gada ahlak! Pantesan di sosial media sering ada kecurigaan tentang  ijazah bisa dibeli. Jangan salahin netzen kalo timbul kecurigaan, sebab kalian sendiri yang mulai. 🤪",Neutral
Yang gini merusak nama kampus,Neutral
Lha dosennya saja Roki gerung😂😂,Neutral
jadi lu ganteng lu aman gitu?,Neutral
Mlenthus nok,Neutral
"​@studiofm6236 korabnnya dari fh ui, dosennya jg orang fh ui, lu ngerendahin mereka juga dong? Otak dimana ya?",Neutral
"Memalukan !, bagaimana jadinya jika menjabat.",Neutral
Bisakah dipidanakan?,Neutral
